,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-04-01 02:03:00,1.15619,1.15629,1.15614,1.15628,25.0,1.1561216807123436,1.1560102778452,0,,
2026-04-01 02:04:00,1.15629,1.15647,1.15625,1.15644,31.0,1.1561853445698749,1.1560493434956363,0,,
2026-04-01 02:05:00,1.15644,1.15659,1.15644,1.1565,30.0,1.1562482756559,1.1560903122687602,0,,
2026-04-01 02:06:00,1.1565,1.15659,1.1565,1.15656,22.0,1.15631062052472,1.1561330111534185,0,,
2026-04-01 02:07:00,1.15656,1.15656,1.15648,1.15654,16.0,1.1563564964197761,1.1561700101394714,0,,
2026-04-01 02:08:00,1.15654,1.15654,1.15645,1.1565,16.0,1.156385197135821,1.1562000092177012,0,,
2026-04-01 02:09:00,1.15649,1.1566,1.15647,1.15654,24.0,1.156416157708657,1.1562309174706373,0,,
2026-04-01 02:10:00,1.15653,1.15658,1.1565,1.1565,15.0,1.1564329261669255,1.1562553795187611,0,,
2026-04-01 02:11:00,1.1565,1.1565,1.1564,1.15643,22.0,1.1564323409335404,1.1562712541079645,0,,
2026-04-01 02:12:00,1.15643,1.15644,1.15635,1.15644,25.0,1.1564338727468324,1.156286594643604,0,,
2026-04-01 02:13:00,1.15643,1.15647,1.15636,1.1564,26.0,1.156427098197466,1.1562969042214581,0,,
2026-04-01 02:14:00,1.15641,1.15647,1.15641,1.15646,8.0,1.156433678557973,1.1563117311104165,0,,
2026-04-01 02:15:00,1.15646,1.15656,1.15642,1.15656,22.0,1.1564589428463785,1.1563343010094695,0,,
2026-04-01 02:16:00,1.15656,1.15662,1.15651,1.15662,30.0,1.1564911542771028,1.1563602736449723,0,,
2026-04-01 02:17:00,1.15661,1.15661,1.15655,1.1566,18.0,1.1565129234216822,1.156382066949975,0,,
2026-04-01 02:18:00,1.1566,1.1566,1.15654,1.15654,15.0,1.1565183387373459,1.1563964244999771,0,,
2026-04-01 02:19:00,1.15654,1.15656,1.15649,1.15655,18.0,1.1565246709898767,1.15641038590907,0,,
2026-04-01 02:20:00,1.15655,1.1566,1.15651,1.15651,24.0,1.1565217367919014,1.1564194417355182,0,,
2026-04-01 02:21:00,1.15651,1.15651,1.15647,1.1565,12.0,1.1565173894335212,1.1564267652141074,0,,
2026-04-01 02:22:00,1.15649,1.15651,1.15642,1.15645,17.0,1.156503911546817,1.1564288774673703,0,,
2026-04-01 02:23:00,1.15646,1.15659,1.15646,1.15659,18.0,1.1565211292374538,1.1564435249703366,0,,
2026-04-01 02:24:00,1.15661,1.15665,1.15656,1.15662,20.0,1.1565409033899632,1.1564595681548513,0,,
2026-04-01 02:25:00,1.15664,1.15664,1.1565,1.15654,20.0,1.1565407227119706,1.1564668801407738,0,,
2026-04-01 02:26:00,1.15654,1.15656,1.15643,1.15648,21.0,1.1565285781695764,1.1564680728552488,0,,
2026-04-01 02:27:00,1.15648,1.15652,1.15648,1.15649,12.0,1.156520862535661,1.1564700662320444,0,,
2026-04-01 02:28:00,1.15649,1.15653,1.15647,1.15653,20.0,1.1565226900285288,1.156475514756404,0,,
